,Titile,Price,redPrice,yellowPrice,bluePrice,brandName,category,swatchesTotal,sellingAttribute,link
27,Double-breasted Coat,$84.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1122086001.html
28,Cropped sweatshirt,$24.99 ,,,,H&M,ladies_basics_tops_longsleeve,2,New Arrival,https://www2.hm.com/en_us/productpage.1129801004.html
29,Cotton Poplin Shirt,$29.99 ,,,,H&M,ladies_shirtsblouses_shirts,3,New Arrival,https://www2.hm.com/en_us/productpage.1128740002.html
30,Oversized Mohair-blend Sweater,$74.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,1,New Arrival,https://www2.hm.com/en_us/productpage.1136707001.html
31,Pointelle-knit Sweater,$34.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1135095002.html
32,Dress Pants,$34.99 ,,,,H&M,ladies_trousers_wideleg,5,New Arrival,https://www2.hm.com/en_us/productpage.1124621005.html
33,Sweatpants,$24.99 ,,,,H&M,ladies_basics_trousersleggings,2,New Arrival,https://www2.hm.com/en_us/productpage.1129802002.html
34,V-neck cardigan,$34.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,2,New Arrival,https://www2.hm.com/en_us/productpage.1130433001.html
35,Sweater,$29.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,6,New Arrival,https://www2.hm.com/en_us/productpage.1107948008.html
36,Cargo Pants,$49.99 ,,,,H&M,ladies_trousers_cargo,1,New Arrival,https://www2.hm.com/en_us/productpage.1098570003.html
37,90s Baggy Low Jeans,$29.99 ,,,,H&M,ladies_divided_jeans_loose,2,New Arrival,https://www2.hm.com/en_us/productpage.1113296007.html
38,Tie-detail Wrap Dress,$34.99 ,,,,H&M,ladies_dresses_longsleevedress,2,New Arrival,https://www2.hm.com/en_us/productpage.1148535001.html
39,Oversized T-shirt,$9.99 ,,,,H&M,ladies_basics_tops_shortsleeve,3,New Arrival,https://www2.hm.com/en_us/productpage.1128482007.html
40,Denim Shirt,$39.99 ,,,,H&M,ladies_shirtsblouses_denimshirts,1,New Arrival,https://www2.hm.com/en_us/productpage.1044410004.html
41,Chunky Sneakers,$49.99 ,,,,H&M,ladies_shoes_sneakers,3,New Arrival,https://www2.hm.com/en_us/productpage.0988436009.html
42,Slim Regular Ankle Jeans,$34.99 ,,,,H&M,ladies_jeans,6,New Arrival,https://www2.hm.com/en_us/productpage.1075062016.html
43,H&M+ Motif-front Sweater,$29.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1134909002.html
44,Embroidered Bomber Jacket,$64.99 ,,,,H&M,ladies_divided_jacketscoats,1,New Arrival,https://www2.hm.com/en_us/productpage.1144393001.html
45,Double-breasted Trench Coat,$64.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1115204001.html
46,Oversized rib-knit cardigan,$34.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,2,New Arrival,https://www2.hm.com/en_us/productpage.1158652001.html
47,High-collar jumper,$49.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1155758003.html
48,Tie-belt shirt dress,$39.99 ,,,,H&M,ladies_dresses_mididresses,2,New Arrival,https://www2.hm.com/en_us/productpage.1129134001.html
49,Lyocell-blend Pull-on Pants,$29.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1136647002.html
50,Single-breasted Coat,$69.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1140504001.html
51,Ankle-length Pants,$29.99 ,,,,H&M,ladies_trousers_highwaisted,3,New Arrival,https://www2.hm.com/en_us/productpage.1011909030.html
52,Puffer gilet,$34.99 ,,,,H&M,ladies_jacketscoats_gilets,1,New Arrival,https://www2.hm.com/en_us/productpage.1131010001.html
53,Double-breasted trenchcoat,$74.99 ,,,,H&M,ladies_jacketscoats_coats,1,New Arrival,https://www2.hm.com/en_us/productpage.1115457004.html
54,Dress Pants,$24.99 ,,,,H&M,ladies_divided_new_clothes,4,New Arrival,https://www2.hm.com/en_us/productpage.1107363001.html
55,Dress Pants,$34.99 ,,,,H&M,ladies_trousers_highwaisted,3,New Arrival,https://www2.hm.com/en_us/productpage.1096238007.html
56,Pleated Skirt,$39.99 ,,,,H&M,Ladies_skirts_highwaisted,1,New Arrival,https://www2.hm.com/en_us/productpage.0998124023.html
57,V-neck cardigan,$34.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,2,New Arrival,https://www2.hm.com/en_us/productpage.1130433002.html
58,Puffer gilet,$39.99 ,,,,H&M,ladies_jacketscoats_gilets,2,New Arrival,https://www2.hm.com/en_us/productpage.1128508001.html
59,Oversized rib-knit cardigan,$34.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,2,New Arrival,https://www2.hm.com/en_us/productpage.1158652002.html
60,High-collar jumper,$49.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1155758001.html
61,Textured-weave Jacket,$84.99 ,,,,H&M,ladies_jacketscoats_jackets,1,New Arrival,https://www2.hm.com/en_us/productpage.1145920002.html
62,Mesh-detail Slingbacks,$30.99 ,,,,H&M,ladies_shoes_ballerinas_flats,1,New Arrival,https://www2.hm.com/en_us/productpage.1137425001.html
63,Cotton T-shirt,$5.99 ,,,,H&M,ladies_basics_tops_shortsleeve,4,New Arrival,https://www2.hm.com/en_us/productpage.0963662058.html
